-0.01 0 -nan -nan -nan -nan 0 0 0
0 0.982762 -1.86718 0 0 97058.6 0 0 0
0.01 0.982858 0.879238 0 0 97075.1 0 0 0
0.02 0.975424 4.22665 0 0 96492.5 0 0 0
0.03 0.968022 7.86959 0 0 95608.3 0 0 0
0.04 0.958036 12.1791 0 0 94210.4 0 0 0
0.05 0.945432 17.1375 0 0 92377.6 0 0 0
0.06 0.930228 22.8361 0 0 90150 0 0 0
0.07 0.912725 29.2721 0 0 87600.9 0 0 0
0.08 0.893251 36.4224 0 0 84797 0 0 0
0.09 0.872117 44.249 0 0 81796.5 0 0 0
0.1 0.849568 52.7332 0 0 78641.5 0 0 0
0.11 0.826841 61.3318 0 0 75542.1 0 0 0
0.12 0.804279 69.9105 0 0 72558.5 0 0 0
0.13 0.782007 78.4506 0 0 69686.7 0 0 0
0.14 0.760114 86.9554 0 0 66926.4 0 0 0
0.15 0.738635 95.4226 0 0 64273 0 0 0
0.16 0.717583 103.854 0 0 61722.1 0 0 0
0.17 0.696971 112.254 0 0 59269.4 0 0 0
0.18 0.676796 120.628 0 0 56910.5 0 0 0
0.19 0.657066 128.98 0 0 54641.2 0 0 0
0.2 0.637767 137.317 0 0 52457.5 0 0 0
0.21 0.618885 145.645 0 0 50355.3 0 0 0
0.22 0.600411 153.969 0 0 48331.1 0 0 0
0.23 0.582346 162.292 0 0 46382 0 0 0
0.24 0.564683 170.614 0 0 44506 0 0 0
0.25 0.547421 178.925 0 0 42703.2 0 0 0
0.26 0.530608 187.198 0 0 40976.8 0 0 0
0.27 0.514273 195.38 0 0 39335.1 0 0 0
0.28 0.498587 203.374 0 0 37792.9 0 0 0
0.29 0.483666 211.033 0 0 36372.3 0 0 0
0.3 0.469742 218.159 0 0 35100.9 0 0 0
0.31 0.45705 224.549 0 0 34002.8 0 0 0
0.32 0.445958 229.66 0 0 33153.1 0 0 0
0.33 0.437559 232.799 0 0 32665.3 0 0 0
0.34 0.431519 234.176 0 0 32487 0 0 0
0.35 0.426651 234.736 0 0 32445.7 0 0 0
0.36 0.421775 235.342 0 0 32384.4 0 0 0
0.37 0.416602 236.521 0 0 32233.7 0 0 0
0.38 0.411503 237.626 0 0 32092.3 0 0 0
0.39 0.406768 238.636 0 0 31966.8 0 0 0
0.4 0.402189 239.655 0 0 31841.8 0 0 0
0.41 0.397811 240.622 0 0 31724.8 0 0 0
0.42 0.393632 241.497 0 0 31619.4 0 0 0
0.43 0.389509 242.344 0 0 31516.2 0 0 0
0.44 0.385562 243.167 0 0 31417.4 0 0 0
0.45 0.381841 243.896 0 0 31334.4 0 0 0
0.46 0.378291 244.556 0 0 31260.7 0 0 0
0.47 0.374672 245.325 0 0 31170 0 0 0
0.48 0.371005 246.211 0 0 31062.2 0 0 0
