0.001 0 -nan -nan -nan
0.003 0.0420147 -52.7932 180739 8099.01
0.005 0.0417098 30.4524 182943 8183.68
0.007 0.0429494 112.13 174623 7870.84
0.009 0.0459441 125.76 163407 7410.21
0.011 0.0508646 93.4792 156786 6986.56
0.013 0.057583 50.1994 154983 6600.91
0.015 0.0658967 26.7059 155735 6205.21
0.017 0.0758925 23.7534 157323 5747.37
0.019 0.0878777 30.9035 156949 5146.87
0.021 0.102375 43.5578 152853 4426.46
0.023 0.120002 55.2451 151336 3897.96
0.025 0.14126 66.4512 154838 3546.49
0.027 0.166453 81.1672 161453 3246.53
0.029 0.195731 101.866 167942 2930.5
0.031 0.229205 126.77 171498 2579.62
0.033 0.267012 151.997 172307 2232.14
0.035 0.309351 174.026 172112 1926.54
0.037 0.356498 190.992 172361 1674.82
0.039 0.408843 202.698 173430 1469.65
0.041 0.466956 210.022 175049 1298.79
0.043 0.531655 214.324 176834 1152.42
0.045 0.604073 217.012 178803 1025.6
0.047 0.68558 219.335 181266 916.164
0.049 0.777912 222.127 184531 821.994
0.051 0.882058 225.927 188864 741.973
0.053 1.00078 230.244 194476 673.381
0.055 1.12834 236.343 201415 618.559
0.057 1.245 242.165 207834 578.455
0.059 1.34115 244.514 211959 547.646
0.061 1.4212 243.865 214267 522.441
0.063 1.4892 240.682 215347 501.088
0.065 1.54783 235.662 215815 483.143
0.067 1.59817 229.752 215763 467.839
0.069 1.6401 224.021 214712 453.631
0.071 1.67291 218.736 212208 439.556
0.073 1.69585 213.142 208126 425.27
0.075 1.70898 206.206 202441 410.488
0.077 1.71383 196.68 195223 394.737
0.079 1.71329 183.216 186487 377.195
0.081 1.70644 164.912 176225 357.859
0.083 1.68773 141.976 163907 336.544
0.085 1.65142 112.38 150283 315.356
0.087 1.59313 82.411 137648 299.411
0.089 1.50612 60.6088 127524 293.415
0.091 1.4161 44.271 119877 293.339
0.093 1.35297 31.5403 114277 292.697
0.095 1.31051 22.0161 110273 291.58
0.097 1.282 15.1348 107440 290.416
0.099 1.26293 10.2826 105474 289.398
0.101 1.25019 6.9206 104113 288.589
0.103 1.24167 4.62125 103195 287.985
0.105 1.236 3.06373 102562 287.55
0.107 1.23222 2.01725 102139 287.247
0.109 1.22972 1.31955 101858 287.039
0.111 1.22806 0.857703 101672 286.899
0.113 1.22698 0.55404 101549 286.805
0.115 1.22627 0.355686 101469 286.744
0.117 1.22581 0.226953 101417 286.703
0.119 1.22551 0.143934 101384 286.677
0.121 1.22532 0.0907345 101362 286.66
0.123 1.2252 0.0568564 101348 286.649
0.125 1.22513 0.0354168 101340 286.642
0.127 1.22508 0.0219324 101334 286.638
0.129 1.22505 0.0135032 101331 286.635
0.131 1.22503 0.00826583 101329 286.634
0.133 1.22502 0.00503114 101327 286.633
0.135 1.22501 0.00304511 101326 286.632
0.137 1.22501 0.00183283 101326 286.632
0.139 1.225 0.00109712 101326 286.631
0.141 1.225 0.000653162 101325 286.631
0.143 1.225 0.000386766 101325 286.631
0.145 1.225 0.000227804 101325 286.631
0.147 1.225 0.00013347 101325 286.631
0.149 1.225 7.77933e-05 101325 286.631
0.151 1.225 4.51101e-05 101325 286.631
0.153 1.225 2.6027e-05 101325 286.631
0.155 1.225 1.4944e-05 101325 286.631
0.157 1.225 8.54111e-06 101325 286.631
0.159 1.225 4.86126e-06 101325 286.631
0.161 1.225 2.75724e-06 101325 286.631
0.163 1.225 1.56034e-06 101325 286.631
0.165 1.225 8.8294e-07 101325 286.631
0.167 1.225 5.01575e-07 101325 286.631
0.169 1.225 2.88166e-07 101325 286.631
0.171 1.225 1.69752e-07 101325 286.631
0.173 1.225 1.04939e-07 101325 286.631
0.175 1.225 7.01748e-08 101325 286.631
0.177 1.225 5.17886e-08 101325 286.631
0.179 1.225 4.13285e-08 101325 286.631
0.181 1.225 3.37931e-08 101325 286.631
0.183 1.225 2.74809e-08 101325 286.631
0.185 1.225 2.22621e-08 101325 286.631
0.187 1.225 1.79953e-08 101325 286.631
0.189 1.225 1.45421e-08 101325 286.631
0.191 1.225 1.17762e-08 101325 286.631
0.193 1.225 9.58817e-09 101325 286.631
0.195 1.225 7.88772e-09 101325 286.631
0.197 1.225 6.60341e-09 101325 286.631
0.199 1.225 5.68174e-09 101325 286.631
0.201 1.225 5.08551e-09 101325 286.631
0.203 1.225 4.79217e-09 101325 286.631
0.205 1.225 4.79131e-09 101325 286.631
0.207 -nan -nan -nan -nan
